##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	SRR4342133_2.paired.trimmed.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	29977094
Sequences flagged as poor quality	0
Sequence length	50-101
%GC	46
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.78067063471863	34.0	31.0	34.0	31.0	34.0
2	32.96540184982574	34.0	31.0	34.0	31.0	34.0
3	33.020061417561024	34.0	31.0	34.0	31.0	34.0
4	36.404842510751706	37.0	37.0	37.0	35.0	37.0
5	36.31555690488211	37.0	37.0	37.0	35.0	37.0
6	36.30253059219149	37.0	37.0	37.0	35.0	37.0
7	36.310938778788895	37.0	37.0	37.0	35.0	37.0
8	36.29164841662104	37.0	37.0	37.0	35.0	37.0
9	38.10646585689727	39.0	38.0	39.0	37.0	39.0
10-11	38.0851981015905	39.0	38.0	39.0	36.0	39.0
12-13	38.074579177020965	39.0	38.0	39.0	35.0	39.0
14-15	39.56458124326527	41.0	39.0	41.0	37.0	41.0
16-17	39.53198523846241	41.0	39.0	41.0	37.0	41.0
18-19	39.519078417007336	41.0	39.0	41.0	37.0	41.0
20-21	39.500439702394104	41.0	39.0	41.0	37.0	41.0
22-23	39.452372234613534	41.0	39.0	41.0	37.0	41.0
24-25	39.406655628460854	41.0	39.0	41.0	36.0	41.0
26-27	39.31784158264307	41.0	39.0	41.0	36.0	41.0
28-29	39.22602913077565	40.0	39.0	41.0	36.0	41.0
30-31	39.1243066289214	40.0	39.0	41.0	35.5	41.0
32-33	39.01804696279099	40.0	38.0	41.0	35.0	41.0
34-35	38.878321244214	40.0	38.0	41.0	35.0	41.0
36-37	38.742660562761685	40.0	38.0	41.0	35.0	41.0
38-39	38.60251524046994	40.0	38.0	41.0	34.5	41.0
40-41	38.43246446770324	40.0	37.5	41.0	34.0	41.0
42-43	38.23046281604214	40.0	37.0	41.0	34.0	41.0
44-45	38.03955835412198	40.0	36.5	41.0	33.0	41.0
46-47	38.05339963907109	40.0	36.0	41.0	34.0	41.0
48-49	37.940670233078635	40.0	35.5	41.0	33.0	41.0
50-51	37.794719251610736	39.0	35.0	41.0	33.0	41.0
52-53	37.66743367781761	39.0	35.0	41.0	33.0	41.0
54-55	37.46024757154213	39.0	35.0	41.0	33.0	41.0
56-57	37.25778308295874	38.5	35.0	41.0	33.0	41.0
58-59	37.06631227680181	38.0	35.0	41.0	33.0	41.0
60-61	36.88276420163726	37.0	35.0	40.5	33.0	41.0
62-63	36.679575010884875	37.0	35.0	40.0	33.0	41.0
64-65	36.485271102541844	36.0	35.0	40.0	33.0	41.0
66-67	36.284790938742205	36.0	35.0	40.0	33.0	41.0
68-69	36.073734105421764	35.0	35.0	39.0	32.0	41.0
70-71	35.849235332455706	35.0	35.0	39.0	32.0	41.0
72-73	35.652148745451115	35.0	35.0	39.0	32.0	41.0
74-75	35.42879591913078	35.0	35.0	37.5	32.0	40.0
76-77	34.21837254764883	35.0	33.0	36.0	30.0	39.0
78-79	34.9085448912806	35.0	34.0	37.0	31.5	39.0
80-81	34.868137374484036	35.0	34.0	36.0	32.0	39.0
82-83	34.712877677459495	35.0	34.0	36.0	32.0	38.0
84-85	34.542093701245	35.0	34.0	36.0	32.0	37.0
86-87	34.36766452948737	35.0	34.0	35.0	31.5	37.0
88-89	34.23116995485416	35.0	34.0	35.0	31.0	36.5
90-91	34.12027899932082	35.0	34.0	35.0	31.0	36.0
92-93	34.03815347292149	35.0	34.0	35.0	31.0	36.0
94-95	33.945066781810254	35.0	34.0	35.0	31.0	36.0
96-97	33.924288680448534	35.0	34.0	35.0	31.0	36.0
98-99	33.93221101574039	35.0	34.0	35.0	31.0	35.0
100-101	33.760550016166476	35.0	33.5	35.0	30.5	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.43919859701048125
1101	2	0.40870323216855553
1101	3	0.40101790244003865
1101	4	0.22309181571549885
1101	5	0.28204892676602356
1101	6	0.2825741474718271
1101	7	0.2673727715909564
1101	8	0.30517238785322576
1101	9	0.3933265106825985
1101	10-11	0.3791533584562927
1101	12-13	0.40125296886825623
1101	14-15	0.5187339718524697
1101	16-17	0.5649032593465293
1101	18-19	0.5530074297020988
1101	20-21	0.5509329936376588
1101	22-23	0.5532915152968982
1101	24-25	0.5361021913855026
1101	26-27	0.5655387729451817
1101	28-29	0.5475472327456217
1101	30-31	0.606977398484851
1101	32-33	0.5805981963222422
1101	34-35	0.5674420974776098
1101	36-37	0.5433385139196432
1101	38-39	0.5577144779141392
1101	40-41	0.5290608702895412
1101	42-43	0.5357324207123355
1101	44-45	0.48587371315216643
1101	46-47	0.5337925013421412
1101	48-49	0.4887810552455818
1101	50-51	0.4624042870558256
1101	52-53	0.4373854924348848
1101	54-55	0.3999027060873459
1101	56-57	0.3834970829335447
1101	58-59	0.34651715854916887
1101	60-61	0.3351169679029198
1101	62-63	0.32793951960255185
1101	64-65	0.323238587322102
1101	66-67	0.24075366126110254
1101	68-69	0.27764848245514173
1101	70-71	0.2944794484665181
1101	72-73	0.31619865724182716
1101	74-75	0.2829956164232996
1101	76-77	0.2966293088961649
1101	78-79	0.3108488775421492
1101	80-81	0.23802638763381623
1101	82-83	0.22580519267307864
1101	84-85	0.25328892706397
1101	86-87	0.26159367380319765
1101	88-89	0.28904727129428665
1101	90-91	0.2848454952484829
1101	92-93	0.27169659508979294
1101	94-95	0.2821175788914445
1101	96-97	0.27692328320558346
1101	98-99	0.24953313647660735
1101	100-101	0.22521514821762167
1102	1	0.413422488961686
1102	2	0.366469999759353
1102	3	0.34480099081793014
1102	4	0.24120549925277857
1102	5	0.26660399024317627
1102	6	0.27076759793899896
1102	7	0.2738591518228688
1102	8	0.30217422679169204
1102	9	0.3564092896396005
1102	10-11	0.36402520354036483
1102	12-13	0.3692171329064493
1102	14-15	0.5001737110988671
1102	16-17	0.5014927032161225
1102	18-19	0.477819112309696
1102	20-21	0.43741384089416613
1102	22-23	0.44116123485392933
1102	24-25	0.4719238241855024
1102	26-27	0.4676052115986664
1102	28-29	0.4357315088300524
1102	30-31	0.4517219595858535
1102	32-33	0.4343050343560435
1102	34-35	0.4963441055642761
1102	36-37	0.499622738789256
1102	38-39	0.5052025334639438
1102	40-41	0.4642957249904498
1102	42-43	0.3999914040461192
1102	44-45	0.39812934092409336
1102	46-47	0.42121347600453163
1102	48-49	0.37718264499434184
1102	50-51	0.37175946864710596
1102	52-53	0.3453762159619629
1102	54-55	0.30576382098944066
1102	56-57	0.3327268157858896
1102	58-59	0.2718802349029019
1102	60-61	0.29018588242995946
1102	62-63	0.25141542164610087
1102	64-65	0.23454420907773255
1102	66-67	0.3016944134036734
1102	68-69	0.23671804360132143
1102	70-71	0.27285481283020374
1102	72-73	0.26709202238478724
1102	74-75	0.2608551965023054
1102	76-77	0.2327873170065331
1102	78-79	0.2695273164562977
1102	80-81	0.21842419567000348
1102	82-83	0.21786281062739477
1102	84-85	0.23653813389221767
1102	86-87	0.24131245345625274
1102	88-89	0.27128913959358414
1102	90-91	0.22215093493954896
1102	92-93	0.18314371558866327
1102	94-95	0.1884618763978878
1102	96-97	0.1771237980973268
1102	98-99	0.18907648686343492
1102	100-101	0.18668616357135903
1103	1	0.37834229820725085
1103	2	0.37213693577859175
1103	3	0.33261561467293177
1103	4	0.2116017722431991
1103	5	0.2584323320086739
1103	6	0.2556435760618285
1103	7	0.28308625409852084
1103	8	0.2944996440469225
1103	9	0.3493778127025422
1103	10-11	0.33917883730561726
1103	12-13	0.34046151994639473
1103	14-15	0.4733515093226046
1103	16-17	0.4600555699660518
1103	18-19	0.4871300875613116
1103	20-21	0.4789537961125063
1103	22-23	0.44907468579398824
1103	24-25	0.45262171244522875
