##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	SRR4342133_1.paired.trimmed.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	29977094
Sequences flagged as poor quality	0
Sequence length	50-101
%GC	46
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.51956800749265	34.0	31.0	34.0	31.0	34.0
2	32.60621259685812	34.0	31.0	34.0	31.0	34.0
3	32.61794708986802	34.0	31.0	34.0	31.0	34.0
4	36.11186374503146	37.0	35.0	37.0	35.0	37.0
5	36.11416483532393	37.0	35.0	37.0	35.0	37.0
6	36.134657582219276	37.0	36.0	37.0	35.0	37.0
7	36.1402006145092	37.0	36.0	37.0	35.0	37.0
8	36.119876763237954	37.0	36.0	37.0	35.0	37.0
9	37.90867837289365	39.0	38.0	39.0	35.0	39.0
10-11	37.891223662306956	39.0	38.0	39.0	35.0	39.0
12-13	37.88010223739499	39.0	38.0	39.0	35.0	39.0
14-15	39.332940027475644	41.0	39.0	41.0	36.0	41.0
16-17	39.31284098118383	41.0	39.0	41.0	36.0	41.0
18-19	39.322160129997926	41.0	39.0	41.0	36.0	41.0
20-21	39.35369974487854	41.0	39.0	41.0	36.0	41.0
22-23	39.33093224446639	41.0	39.0	41.0	36.0	41.0
24-25	39.30868168875875	41.0	39.0	41.0	36.0	41.0
26-27	39.243725892843386	40.5	39.0	41.0	36.0	41.0
28-29	39.167208535957485	40.0	39.0	41.0	36.0	41.0
30-31	39.06487131474452	40.0	39.0	41.0	35.0	41.0
32-33	38.93507324292341	40.0	38.0	41.0	35.0	41.0
34-35	38.8068967425595	40.0	38.0	41.0	35.0	41.0
36-37	38.67000723952762	40.0	38.0	41.0	34.5	41.0
38-39	38.5191458017912	40.0	38.0	41.0	34.0	41.0
40-41	38.349447714978645	40.0	37.0	41.0	34.0	41.0
42-43	38.1544970302992	40.0	37.0	41.0	33.0	41.0
44-45	37.93956782468641	40.0	36.0	41.0	33.0	41.0
46-47	37.711567555547575	39.5	35.5	41.0	33.0	41.0
48-49	37.50191492877862	39.0	35.0	41.0	33.0	41.0
50-51	36.54371704250386	38.0	34.5	40.0	31.0	40.5
52-53	36.510237773885784	38.0	34.5	40.0	31.0	40.5
54-55	36.81736373105941	38.0	35.0	40.0	32.0	41.0
56-57	36.68180266733926	38.0	35.0	40.0	31.5	41.0
58-59	36.45693508759095	37.0	35.0	40.0	31.0	41.0
60-61	36.364132884329194	37.0	35.0	40.0	31.5	41.0
62-63	36.41486571816407	36.5	35.0	40.0	32.0	41.0
64-65	36.24122382819432	36.0	35.0	40.0	32.0	41.0
66-67	36.04533391544794	36.0	35.0	40.0	31.5	41.0
68-69	35.99558624954834	35.0	35.0	39.0	32.0	41.0
70-71	35.82942027638414	35.0	35.0	39.0	32.0	41.0
72-73	35.6240925273939	35.0	35.0	39.0	32.0	41.0
74-75	35.414936061024626	35.0	35.0	37.5	31.0	40.5
76-77	35.191804618524145	35.0	34.0	37.0	31.0	39.5
78-79	34.9662933201317	35.0	34.0	37.0	31.0	39.0
80-81	34.739793922506635	35.0	34.0	36.0	31.0	39.0
82-83	34.535890033665794	35.0	34.0	36.0	31.0	38.0
84-85	34.35685291524134	35.0	34.0	36.0	31.0	37.0
86-87	34.16826834185342	35.0	34.0	35.0	31.0	37.0
88-89	34.02342918746955	35.0	34.0	35.0	31.0	36.5
90-91	33.90930933705141	35.0	34.0	35.0	31.0	36.0
92-93	33.82363268184884	35.0	34.0	35.0	31.0	36.0
94-95	33.7597138270398	35.0	34.0	35.0	31.0	36.0
96-97	33.72726011978301	35.0	34.0	35.0	31.0	36.0
98-99	33.74464180161586	35.0	34.0	35.0	31.0	35.5
100-101	33.66771786747981	35.0	33.5	35.0	30.5	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.543862029745128
1101	2	0.5729913507914475
1101	3	0.5657799419359151
1101	4	0.39749650106953993
1101	5	0.42131882482362215
1101	6	0.4233782010195313
1101	7	0.42396911178950347
1101	8	0.4451544035745272
1101	9	0.5391514936758526
1101	10-11	0.5357628324082668
1101	12-13	0.5095004101255896
1101	14-15	0.6726661165963961
1101	16-17	0.717740461751248
1101	18-19	0.6879441259186265
1101	20-21	0.6823935283805085
1101	22-23	0.666466625883821
1101	24-25	0.6696862586376469
1101	26-27	0.6325147563286251
1101	28-29	0.6619323465742539
1101	30-31	0.6231711120755179
1101	32-33	0.6591239013781021
1101	34-35	0.5906132559693447
1101	36-37	0.6112440746281109
1101	38-39	0.607992674804045
1101	40-41	0.576954340071218
1101	42-43	0.5177327349898846
1101	44-45	0.48466431118811215
1101	46-47	0.5563684771369921
1101	48-49	0.4931153345615442
1101	50-51	0.4208435753352049
1101	52-53	0.42657345844121863
1101	54-55	0.3973125548570806
1101	56-57	0.34712877362879624
1101	58-59	0.2747487169204703
1101	60-61	0.3216161039201424
1101	62-63	0.402291736140036
1101	64-65	0.3877548199528462
1101	66-67	0.36641074534379925
1101	68-69	0.33416010185008105
1101	70-71	0.27573413161461247
1101	72-73	0.21985896722341636
1101	74-75	0.23149489159343517
1101	76-77	0.23001107256399678
1101	78-79	0.1958453077424096
1101	80-81	0.17904161903827998
1101	82-83	0.1732714888540059
1101	84-85	0.1888347521645528
1101	86-87	0.18270558297945172
1101	88-89	0.19329336197401403
1101	90-91	0.21018804726107732
1101	92-93	0.18467185512388085
1101	94-95	0.14460771151012608
1101	96-97	0.185493745696391
1101	98-99	0.12822516652780536
1101	100-101	0.11878285540230138
1102	1	0.44406301579266483
1102	2	0.4797818012895263
1102	3	0.5200376714603507
1102	4	0.3475776707596907
1102	5	0.35846778852456396
1102	6	0.3517852009259954
1102	7	0.38338112321375206
1102	8	0.3433578380528104
1102	9	0.46943616012146805
1102	10-11	0.48464414049252724
1102	12-13	0.47030574192208263
1102	14-15	0.6154276576089899
1102	16-17	0.6153584884538006
1102	18-19	0.6142131980384704
1102	20-21	0.6249482434511222
1102	22-23	0.6110798985265546
1102	24-25	0.5993315987882397
1102	26-27	0.6079485540533156
1102	28-29	0.5315389996054236
1102	30-31	0.5885459243615756
1102	32-33	0.5835021015501809
1102	34-35	0.557091856939202
1102	36-37	0.5624572190820558
1102	38-39	0.4872215829736817
1102	40-41	0.4688292058906782
1102	42-43	0.5043556686022654
1102	44-45	0.4932669163320824
1102	46-47	0.43080576736401355
1102	48-49	0.44685438782260434
1102	50-51	0.4003212483204521
1102	52-53	0.3695753434839091
1102	54-55	0.3590884640289431
1102	56-57	0.3322265490506595
1102	58-59	0.28228639037958914
1102	60-61	0.3053883585347634
1102	62-63	0.3631092170034904
1102	64-65	0.3740186054138306
1102	66-67	0.34009158098027825
1102	68-69	0.30037251567353707
1102	70-71	0.23921436950067232
1102	72-73	0.21953138944168415
1102	74-75	0.2629460154335064
1102	76-77	0.2647789117433348
1102	78-79	0.22993665258548646
1102	80-81	0.1988460382574786
1102	82-83	0.1982563263338406
1102	84-85	0.20451140178323612
1102	86-87	0.1843765206841539
1102	88-89	0.1438169288627691
1102	90-91	0.12616556671536472
1102	92-93	0.1609082109902289
1102	94-95	0.1751764677916512
1102	96-97	0.14573245406698732
1102	98-99	0.1350252764938773
1102	100-101	0.09638752332107714
1103	1	0.4349637571096281
1103	2	0.45955265962020064
1103	3	0.4360493617672674
1103	4	0.37724138354788295
1103	5	0.36982761353210947
1103	6	0.3540247430408101
1103	7	0.3644752108064395
1103	8	0.3931743996980117
1103	9	0.46382698069875516
1103	10-11	0.40676830853036705
1103	12-13	0.4544282631119785
1103	14-15	0.544155490426327
1103	16-17	0.5483963938268062
1103	18-19	0.5275473431215332
1103	20-21	0.5209888643098495
1103	22-23	0.588114761723439
1103	24-25	0.5656435303570788
