##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	SRR4342129_2.paired.trimmed.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	24055346
Sequences flagged as poor quality	0
Sequence length	50-101
%GC	45
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.776848023719964	34.0	31.0	34.0	31.0	34.0
2	32.9639339213828	34.0	31.0	34.0	31.0	34.0
3	33.019959929073565	34.0	31.0	34.0	31.0	34.0
4	36.40285897363522	37.0	37.0	37.0	35.0	37.0
5	36.3128622219776	37.0	37.0	37.0	35.0	37.0
6	36.30177466580609	37.0	37.0	37.0	35.0	37.0
7	36.30988442236499	37.0	37.0	37.0	35.0	37.0
8	36.29143176739175	37.0	37.0	37.0	35.0	37.0
9	38.106067898586865	39.0	38.0	39.0	37.0	39.0
10-11	38.083395474752265	39.0	38.0	39.0	36.0	39.0
12-13	38.07382313270406	39.0	38.0	39.0	35.0	39.0
14-15	39.56367395422207	41.0	39.0	41.0	37.0	41.0
16-17	39.53115446770127	41.0	39.0	41.0	37.0	41.0
18-19	39.5180685407726	41.0	39.0	41.0	37.0	41.0
20-21	39.50037688088128	41.0	39.0	41.0	37.0	41.0
22-23	39.454091119703705	41.0	39.0	41.0	37.0	41.0
24-25	39.41034955389958	41.0	39.0	41.0	36.0	41.0
26-27	39.32424767450861	41.0	39.0	41.0	36.0	41.0
28-29	39.23591350546361	40.0	39.0	41.0	36.0	41.0
30-31	39.13922770015447	40.0	39.0	41.0	35.5	41.0
32-33	39.03987635430394	40.0	38.0	41.0	35.0	41.0
34-35	38.90855167911532	40.0	38.0	41.0	35.0	41.0
36-37	38.782598595754976	40.0	38.0	41.0	35.0	41.0
38-39	38.65377492387763	40.0	38.0	41.0	35.0	41.0
40-41	38.49449529846713	40.0	38.0	41.0	34.0	41.0
42-43	38.30342880954612	40.0	37.0	41.0	34.0	41.0
44-45	38.12159862510396	40.0	37.0	41.0	33.5	41.0
46-47	38.13962501308441	40.0	36.5	41.0	34.0	41.0
48-49	38.02751691869242	40.0	36.0	41.0	34.0	41.0
50-51	37.88124331310862	39.0	35.0	41.0	33.5	41.0
52-53	37.74777874577562	39.0	35.0	41.0	33.0	41.0
54-55	37.52852512715751	39.0	35.0	41.0	33.0	41.0
56-57	37.31248077774122	38.5	35.0	41.0	33.0	41.0
58-59	37.101509411522656	38.0	35.0	41.0	33.0	41.0
60-61	36.89851010349501	37.0	35.0	40.0	33.0	41.0
62-63	36.67310394042172	37.0	35.0	40.0	33.0	41.0
64-65	36.457368963938734	36.0	35.0	40.0	33.0	41.0
66-67	36.23693673398836	36.0	35.0	39.5	33.0	41.0
68-69	36.00882964376238	35.0	35.0	39.0	32.0	41.0
70-71	35.77212183512661	35.0	35.0	39.0	32.0	41.0
72-73	35.56806349334879	35.0	35.0	38.5	32.0	40.5
74-75	35.34164484592452	35.0	35.0	37.0	32.0	40.0
76-77	34.15333052957284	34.5	33.0	36.0	30.0	39.0
78-79	34.836832445478706	35.0	34.0	36.0	31.5	39.0
80-81	34.80539950916297	35.0	34.0	36.0	32.0	39.0
82-83	34.663267349831415	35.0	34.0	36.0	32.0	37.5
84-85	34.50647713785936	35.0	34.0	35.5	32.0	37.0
86-87	34.34602277967266	35.0	34.0	35.0	32.0	37.0
88-89	34.22060417582276	35.0	34.0	35.0	31.5	36.0
90-91	34.11876750108364	35.0	34.0	35.0	31.0	36.0
92-93	34.04467248829684	35.0	34.0	35.0	31.0	36.0
94-95	33.956401074115846	35.0	34.0	35.0	31.0	36.0
96-97	33.93901178206772	35.0	34.0	35.0	31.0	36.0
98-99	33.94866041963291	35.0	34.0	35.0	31.0	35.0
100-101	33.77948716791983	35.0	33.5	35.0	30.5	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.45462940671874463
1101	2	0.4164128928217039
1101	3	0.39991867109488055
1101	4	0.2161091227841041
1101	5	0.26171234788679953
1101	6	0.2798217021457603
1101	7	0.25805236371641627
1101	8	0.3048505420039689
1101	9	0.3916607742506599
1101	10-11	0.38541446012627745
1101	12-13	0.38606839969215656
1101	14-15	0.5199454253620175
1101	16-17	0.5454252153845403
1101	18-19	0.5374977055382217
1101	20-21	0.5483611543722233
1101	22-23	0.5409085587539124
1101	24-25	0.49314037801859456
1101	26-27	0.5474876552955692
1101	28-29	0.5435566786372306
1101	30-31	0.582129944727015
1101	32-33	0.5696896770872542
1101	34-35	0.5571600447108409
1101	36-37	0.515972875100168
1101	38-39	0.5485647537500498
1101	40-41	0.4898719469065256
1101	42-43	0.46711284026640243
1101	44-45	0.4312506249931829
1101	46-47	0.4879403020747546
1101	48-49	0.45419483599964394
1101	50-51	0.44559240253983035
1101	52-53	0.4204988394918985
1101	54-55	0.3452411706055116
1101	56-57	0.37165563321601525
1101	58-59	0.31801190837310145
1101	60-61	0.27895916041779145
1101	62-63	0.30176491012259277
1101	64-65	0.28829690329887825
1101	66-67	0.2179680585959929
1101	68-69	0.2730382742230262
1101	70-71	0.3089193227791256
1101	72-73	0.2697159445256432
1101	74-75	0.27582968208785985
1101	76-77	0.31706414121854465
1101	78-79	0.2737025634347887
1101	80-81	0.19979726480076465
1101	82-83	0.21419424244238172
1101	84-85	0.23898604037218263
1101	86-87	0.26006910225803637
1101	88-89	0.2724003114693474
1101	90-91	0.25556726821286446
1101	92-93	0.2646316184558586
1101	94-95	0.3073782788501447
1101	96-97	0.26912829187518383
1101	98-99	0.2334438698926533
1101	100-101	0.20756370994475049
1102	1	0.41552445898829404
1102	2	0.3770214696416616
1102	3	0.3479630264905893
1102	4	0.2318567402805769
1102	5	0.2838811472900531
1102	6	0.27478880037114806
1102	7	0.28311029037135427
1102	8	0.29787923998418364
1102	9	0.3732001384837744
1102	10-11	0.3718733672810828
1102	12-13	0.35363059406898145
1102	14-15	0.49437228974773006
1102	16-17	0.49817870071752424
1102	18-19	0.48172777445783055
1102	20-21	0.43233809453931116
1102	22-23	0.4614365307234749
1102	24-25	0.47581617218108363
1102	26-27	0.47469474533566824
1102	28-29	0.4590993410788968
1102	30-31	0.46844530255067696
1102	32-33	0.45119832400257565
1102	34-35	0.5001389836559156
1102	36-37	0.5298573003085494
1102	38-39	0.5220844357059846
1102	40-41	0.5238227201721202
1102	42-43	0.4684257405761443
1102	44-45	0.4267541149841989
1102	46-47	0.4736542821486509
1102	48-49	0.4203308033381532
1102	50-51	0.38978975418135065
1102	52-53	0.3846896256117418
1102	54-55	0.3028387348688071
1102	56-57	0.33147455070893983
1102	58-59	0.2802727578786559
1102	60-61	0.2690228968375834
1102	62-63	0.2663535379144619
1102	64-65	0.23913431246709393
1102	66-67	0.28208679798265734
1102	68-69	0.23536906602043217
1102	70-71	0.2671019726795194
1102	72-73	0.24948571106132533
1102	74-75	0.23076753627034918
1102	76-77	0.2319249647862378
1102	78-79	0.27835280592649525
1102	80-81	0.24452196802666748
1102	82-83	0.21149030606455455
1102	84-85	0.2348432193757688
1102	86-87	0.24682589352068618
1102	88-89	0.27754196313016166
1102	90-91	0.2531413950026078
1102	92-93	0.21483911447949566
1102	94-95	0.23847168542455677
1102	96-97	0.19078044596096078
1102	98-99	0.18866273062634065
1102	100-101	0.22022162485218644
1103	1	0.39680279919974026
1103	2	0.376714321372674
1103	3	0.3361390472648864
1103	4	0.20765293174947885
1103	5	0.2533898586063472
1103	6	0.2625590563387874
1103	7	0.2798904741380639
1103	8	0.3044409212914516
1103	9	0.34882596257037335
1103	10-11	0.340854946664777
1103	12-13	0.34427142685805023
1103	14-15	0.48074029054567546
1103	16-17	0.4855843516851195
1103	18-19	0.47784416948611863
1103	20-21	0.4679455299611561
1103	22-23	0.4543170797328173
1103	24-25	0.4396522268613907
